number,item_id,name,born,died,nationality,nationality_distractor,occupation,occupation_distractor,lifetime,life_status,life_status_distractor,life_status_year_verb,life_status_year_verb_distractor,life_status_year_before,life_status_year_after,life_status_year_before_match,life_status_year_correct,bio,critical,pronoun,verb,adjectiv,np,spillover1,spillover2,bio_pic,bio_spr,critical_spr,type,tense,condition,match,mismatch,list,bare_verb,prac_correct,prac_incorrect,file_name,pre_task
5,1,Sean Connery,1930,2020,Scottish,Canadian,actor,singer,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Sean Connery was a Scottish actor. He died in the Bahamas.,"He has received prestigious acting awards, as reported by his website.",He,has received,prestigious,"acting awards,",as reported by,his website.,"Look at the picture of Sean Connery, a Scottish actor.",Sean Connery*was*a Scottish*actor.*He*died*in the Bahamas.,"He*has received*prestigious*acting awards,*as reported by*his website.",critical,PP,recentlyPP,no,recentlyPP,5,receive,crit,crit,Sean_Connery.jpg,yes
6,1,Sean Connery,1930,2020,Scottish,Canadian,actor,singer,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Sean Connery was a Scottish actor. He died in the Bahamas.,"He received prestigious acting awards, as reported by his website.",He,received,prestigious,"acting awards,",as reported by,his website.,"Look at the picture of Sean Connery, a Scottish actor.",Sean Connery*was*a Scottish*actor.*He*died*in the Bahamas.,"He*received*prestigious*acting awards,*as reported by*his website.",critical,PS,recentlyPS,yes,match,6,receive,crit,crit,Sean_Connery.jpg,yes
9,2,Henry Fonda,1905,1982,American,Spanish,actor,politician,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Henry Fonda was an American actor. He died in Los Angeles.,"He has starred in critically acclaimed film productions, so his memoir says.",He,has starred,in critically acclaimed,"film productions,",so his,memoir says.,"Look at the picture of Henry Fonda, an American actor.",Henry Fonda*was*an American*actor.*He*died*in Los Angeles.,"He*has starred*in critically acclaimed*film productions,*so his*memoir says.",critical,PP,historicallyPP,no,historicallyPP,4,star,crit,crit,Henry_Fonda.jpg,yes
10,2,Henry Fonda,1905,1982,American,Spanish,actor,politician,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Henry Fonda was an American actor. He died in Los Angeles.,"He starred in critically acclaimed film productions, so his memoir says.",He,starred,in critically acclaimed,"film productions,",so his,memoir says.,"Look at the picture of Henry Fonda, an American actor.",Henry Fonda*was*an American*actor.*He*died*in Los Angeles.,"He*starred*in critically acclaimed*film productions,*so his*memoir says.",critical,PS,historicallyPS,yes,match,5,star,crit,crit,Henry_Fonda.jpg,yes
11,2,Ben Cross,1947,2020,English,Scottish,actor,politician,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Ben Cross was an English actor. He died in Vienna.,"He has starred in critically acclaimed film productions, so his memoir says.",He,has starred,in critically acclaimed,"film productions,",so his,memoir says.,"Look at the picture of Ben Cross, an English actor.",Ben Cross*was*an English*actor.*He*died*in Vienna.,"He*has starred*in critically acclaimed*film productions,*so his*memoir says.",critical,PP,recentlyPP,no,recentlyPP,6,star,crit,crit,Ben_Cross.jpg,yes
12,2,Ben Cross,1947,2020,English,Scottish,actor,politician,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Ben Cross was an English actor. He died in Vienna.,"He starred in critically acclaimed film productions, so his memoir says.",He,starred,in critically acclaimed,"film productions,",so his,memoir says.,"Look at the picture of Ben Cross, an English actor.",Ben Cross*was*an English*actor.*He*died*in Vienna.,"He*starred*in critically acclaimed*film productions,*so his*memoir says.",critical,PS,recentlyPS,yes,match,1,star,crit,crit,Ben_Cross.jpg,yes
15,3,Clark Gable,1901,1960,American,Swedish,actor,musician,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Clark Gable was an American actor. He died in Los Angeles.,"He has performed in award-winning blockbusters, as reported by the media.",He,has performed,in award-winning,"blockbusters,",as reported by,the media.,"Look at the picture of Clark Gable, an American actor.",Clark Gable*was*an American*actor.*He*died*in Los Angeles.,"He*has performed*in award-winning*blockbusters,*as reported by*the media.",critical,PP,historicallyPP,no,historicallyPP,5,perform,crit,crit,Clark_Gable.jpg,yes
16,3,Clark Gable,1901,1960,American,Swedish,actor,musician,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Clark Gable was an American actor. He died in Los Angeles.,"He performed in award-winning blockbusters, as reported by the media.",He,performed,in award-winning,"blockbusters,",as reported by,the media.,"Look at the picture of Clark Gable, an American actor.",Clark Gable*was*an American*actor.*He*died*in Los Angeles.,"He*performed*in award-winning*blockbusters,*as reported by*the media.",critical,PS,historicallyPS,yes,match,6,perform,crit,crit,Clark_Gable.jpg,yes
17,3,Ian Holm,1931,2020,English,Australian,actor,musician,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Ian Holm was an English actor. He died in London.,"He has performed in award-winning blockbusters, as reported by the media.",He,has performed,in award-winning,"blockbusters,",as reported by,the media.,"Look at the picture of Ian Holm, an English actor.",Ian Holm*was*an English*actor.*He*died*in London.,"He*has performed*in award-winning*blockbusters,*as reported by*the media.",critical,PP,recentlyPP,no,recentlyPP,1,perform,crit,crit,Ian_Holm.png,yes
18,3,Ian Holm,1931,2020,English,Australian,actor,musician,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Ian Holm was an English actor. He died in London.,"He performed in award-winning blockbusters, as reported by the media.",He,performed,in award-winning,"blockbusters,",as reported by,the media.,"Look at the picture of Ian Holm, an English actor.",Ian Holm*was*an English*actor.*He*died*in London.,"He*performed*in award-winning*blockbusters,*as reported by*the media.",critical,PS,recentlyPS,yes,match,2,perform,crit,crit,Ian_Holm.png,yes
21,4,Peter Sellers,1925,1980,English,American,actor ,scientist,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Peter Sellers was an English actor. He died in London.,"He has appeared in critically lauded comedies, according to his biographer.",He,has appeared,in critically lauded,"comedies,",according to,his biographer.,"Look at the picture of Peter Sellers, an English actor .",Peter Sellers*was*an English*actor.*He*died*in London.,"He*has appeared*in critically lauded*comedies,*according to*his biographer.",critical,PP,historicallyPP,no,historicallyPP,6,appear,crit,crit,Peter_Sellers.png,yes
22,4,Peter Sellers,1925,1980,English,American,actor,scientist,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Peter Sellers was an English actor. He died in London.,"He appeared in critically lauded comedies, according to his biographer.",He,appeared,in critically lauded,"comedies,",according to,his biographer.,"Look at the picture of Peter Sellers, an English actor.",Peter Sellers*was*an English*actor.*He*died*in London.,"He*appeared*in critically lauded*comedies,*according to*his biographer.",critical,PS,historicallyPS,yes,match,1,appear,crit,crit,Peter_Sellers.png,yes
23,4,Terry Jones,1942,2020,Welsh,Swedish,actor,scientist,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Terry Jones was a Welsh actor. He died in London.,"He has appeared in critically lauded comedies, according to his biographer.",He,has appeared,in critically lauded,"comedies,",according to,his biographer.,"Look at the picture of Terry Jones, a Welsh actor.",Terry Jones*was*a Welsh*actor.*He*died*in London.,"He*has appeared*in critically lauded*comedies,*according to*his biographer.",critical,PP,recentlyPP,no,recentlyPP,2,appear,crit,crit,Terry_Jones.png,yes
24,4,Terry Jones,1942,2020,Welsh,Swedish,actor,scientist,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Terry Jones was a Welsh actor. He died in London.,"He appeared in critically lauded comedies, according to his biographer.",He,appeared,in critically lauded,"comedies,",according to,his biographer.,"Look at the picture of Terry Jones, a Welsh actor.",Terry Jones*was*a Welsh*actor.*He*died*in London.,"He*appeared*in critically lauded*comedies,*according to*his biographer.",critical,PS,recentlyPS,yes,match,3,appear,crit,crit,Terry_Jones.png,yes
27,6,Vivien Leigh,1925,1967,British,Dutch,actress,politician,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Vivien Leigh was a British actress. She died in London.,"She has starred in well-received dramas, so her Wikipedia page states.",She,has starred,in well-received,"dramas,",so her,Wikipedia page states.,"Look at the picture of Vivien Leigh, an British actress.",Vivien Leigh*was*a British*actress.*She*died*in London.,"She*has starred*in well-received*dramas,*so her*Wikipedia page states.",critical,PP,historicallyPP,no,historicallyPP,1,star,crit,crit,Vivien_Leigh.png,yes
28,6,Vivien Leigh,1925,1967,British,Dutch,actress,politician,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Vivien Leigh was a British actress. She died in London.,"She starred in well-received dramas, so her Wikipedia page states.",She,starred,in well-received,"dramas,",so her,Wikipedia page states.,"Look at the picture of Vivien Leigh, an British actress.",Vivien Leigh*was*a British*actress.*She*died*in London.,"She*starred*in well-received*dramas,*so her*Wikipedia page states.",critical,PS,historicallyPS,yes,match,2,star,crit,crit,Vivien_Leigh.png,yes
29,6,Diana Rigg,1938,2020,English,Romanian,actress,politician,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Diana Rigg was an English actress. She died in London.,"She has starred in well-received dramas, so her Wikipedia page states.",She,has starred,in well-received,"dramas,",so her,Wikipedia page states.,"Look at the picture of Diana Rigg, an English actress.",Diana Rigg*was*an English*actress.*She*died*in London.,"She*has starred*in well-received*dramas,*so her*Wikipedia page states.",critical,PP,recentlyPP,no,recentlyPP,3,star,crit,crit,Diana_Rigg.png,yes
30,6,Diana Rigg,1938,2020,English,Romanian,actress,politician,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Diana Rigg was an English actress. She died in London.,"She starred in well-received dramas, so her Wikipedia page states.",She,starred,in well-received,"dramas,",so her,Wikipedia page states.,"Look at the picture of Diana Rigg, an English actress.",Diana Rigg*was*an English*actress.*She*died*in London.,"She*starred*in well-received*dramas,*so her*Wikipedia page states.",critical,PS,recentlyPS,yes,match,4,star,crit,crit,Diana_Rigg.png,yes
33,7,Humphrey Bogart,1899,1957,American,British,actor,businessman,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Humphrey Bogart was an American actor. He died in Los Angeles.,"He has worked with well-known film directors, according to his website.",He,has worked,with well-known,"film directors,",according to,his website.,"Look at the picture of Humphrey Bogart, an American actor.",Humphrey Bogart*was*an American*actor.*He*died*in Los Angeles.,"He*has worked*with well-known*film directors,*according to*his website.",critical,PP,historicallyPP,no,historicallyPP,2,work,crit,crit,Humphrey_Bogart.jpg,yes
34,7,Humphrey Bogart,1899,1957,American,British,actor,businessman,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Humphrey Bogart was an American actor. He died in Los Angeles.,"He worked with well-known film directors, according to his website.",He,worked,with well-known,"film directors,",according to,his website.,"Look at the picture of Humphrey Bogart, an American actor.",Humphrey Bogart*was*an American*actor.*He*died*in Los Angeles.,"He*worked*with well-known*film directors,*according to*his website.",critical,PS,historicallyPS,yes,match,3,work,crit,crit,Humphrey_Bogart.jpg,yes
35,7,Chadwick Boseman,1976,2020,American,Australian,actor,businessman,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Chadwick Boseman was an American actor. He died in Los Angeles.,"He has worked with well-known film directors, according to his website.",He,has worked,with well-known,"film directors,",according to,his website.,"Look at the picture of Chadwick Boseman, an American actor.",Chadwick Boseman*was*an American*actor.*He*died*in Los Angeles.,"He*has worked*with well-known*film directors,*according to*his website.",critical,PP,recentlyPP,no,recentlyPP,4,work,crit,crit,Chadwick_Boseman.png,yes
36,7,Chadwick Boseman,1976,2020,American,Australian,actor,businessman,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Chadwick Boseman was an American actor. He died in Los Angeles.,"He worked with well-known film directors, according to his website.",He,worked,with well-known,"film directors,",according to,his website.,"Look at the picture of Chadwick Boseman, an American actor.",Chadwick Boseman*was*an American*actor.*He*died*in Los Angeles.,"He*worked*with well-known*film directors,*according to*his website.",critical,PS,recentlyPS,yes,match,5,work,crit,crit,Chadwick_Boseman.png,yes
39,8,John Wayne,1907,1979,American,Dutch,actor,fashion designer,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,John Wayne was an American actor. He died in Los Angeles.,"He has appeared with important Hollywood stars, as stated in his biography.",He,has appeared,with important,"Hollywood stars,",as stated in,his biography.,"Look at the picture of John Wayne, an American actor.",John Wayne*was*an American*actor.*He*died*in Los Angeles.,"He*has appeared*with important*Hollywood stars,*as stated in*his biography.",critical,PP,historicallyPP,no,historicallyPP,3,appear,crit,crit,John_Wayne.jpg,yes
40,8,John Wayne,1907,1979,American,Dutch,actor,fashion designer,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,John Wayne was an American actor. He died in Los Angeles.,"He appeared with important Hollywood stars, as stated in his biography.",He,appeared,with important,"Hollywood stars,",as stated in,his biography.,"Look at the picture of John Wayne, an American actor.",John Wayne*was*an American*actor.*He*died*in Los Angeles.,"He*appeared*with important*Hollywood stars,*as stated in*his biography.",critical,PS,historicallyPS,yes,match,4,appear,crit,crit,John_Wayne.jpg,yes
41,8,Rutger Hauer,1944,2019,Dutch,Spanish,actor,fashion designer,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Rutger Hauer was a Dutch actor. He died in the Netherlands.,"He has appeared with important Hollywood stars, as stated in his biography.",He,has appeared,with important,"Hollywood stars,",as stated in,his biography.,"Look at the picture of Rutger Hauer, a Dutch actor.",Rutger Hauer*was*a Dutch*actor.*He*died*in the Netherlands.,"He*has appeared*with important*Hollywood stars,*as stated in*his biography.",critical,PP,recentlyPP,no,recentlyPP,5,appear,crit,crit,Rutger_Hauer.jpg,yes
42,8,Rutger Hauer,1944,2019,Dutch,Spanish,actor,fashion designer,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Rutger Hauer was a Dutch actor. He died in the Netherlands.,"He appeared with important Hollywood stars, as stated in his biography.",He,appeared,with important,"Hollywood stars,",as stated in,his biography.,"Look at the picture of Rutger Hauer, a Dutch actor.",Rutger Hauer*was*a Dutch*actor.*He*died*in the Netherlands.,"He*appeared*with important*Hollywood stars,*as stated in*his biography.",critical,PS,recentlyPS,yes,match,6,appear,crit,crit,Rutger_Hauer.jpg,yes
45,9,Bruce Lee,1940,1973,Chinese-American,Japanese,actor,scientist,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Bruce Lee was a Chinese actor. He died in Hong Kong.,"He has released well-received motion pictures, according to his biographer.",He,has released,well-received,"motion pictures,",according to,his biographer.,"Look at the picture of Bruce Lee, a Chinese-American actor.",Bruce Lee*was*a Chinese*actor.*He*died*in Hong Kong.,"He*has released*well-received*motion pictures,*according to*his biographer.",critical,PP,historicallyPP,no,historicallyPP,4,release,crit,crit,Bruce_Lee.jpg,yes
46,9,Bruce Lee,1940,1973,Chinese-American,Japanese,actor,scientist,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Bruce Lee was a Chinese actor. He died in Hong Kong.,"He released well-received motion pictures, according to his biographer.",He,released,well-received,"motion pictures,",according to,his biographer.,"Look at the picture of Bruce Lee, a Chinese-American actor.",Bruce Lee*was*a Chinese*actor.*He*died*in Hong Kong.,"He*released*well-received*motion pictures,*according to*his biographer.",critical,PS,historicallyPS,yes,match,5,release,crit,crit,Bruce_Lee.jpg,yes
47,9,Frank Kelly,1938,2016,Irish,American,actor,scientist,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Frank Kelly was an Irish actor. He died in Dublin.,"He has released well-received motion pictures, according to his biographer.",He,has released,well-received,"motion pictures,",according to,his biographer.,"Look at the picture of Frank Kelly, an Irish actor.",Frank Kelly*was*an Irish*actor.*He*died*in Dublin.,"He*has released*well-received*motion pictures,*according to*his biographer.",critical,PP,recentlyPP,no,recentlyPP,6,release,crit,crit,Frank_Kelly.png,yes
48,9,Frank Kelly,1938,2016,Irish,American,actor,scientist,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Frank Kelly was an Irish actor. He died in Dublin.,"He released well-received motion pictures, according to his biographer.",He,released,well-received,"motion pictures,",according to,his biographer.,"Look at the picture of Frank Kelly, an Irish actor.",Frank Kelly*was*an Irish*actor.*He*died*in Dublin.,"He*released*well-received*motion pictures,*according to*his biographer.",critical,PS,recentlyPS,yes,match,1,release,crit,crit,Frank_Kelly.png,yes
51,10,Louis de Funès,1914,1983,French,Portuguese,actor,businessman,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Louis de Funès was a French actor. He died in Nantes.,"He has played in numerous successful films, as reported by the media.",He,has played,in numerous,"successful films,",as reported by,the media.,"Look at the picture of Louis de Funès, a French actor.",Louis de Funès*was*a French*actor.*He*died*in Nantes.,"He*has played*in numerous*successful films,*as reported by*the media.",critical,PP,historicallyPP,no,historicallyPP,5,play,crit,crit,Louis_de_Funes.jpg,yes
52,10,Louis de Funès,1914,1983,French,Portuguese,actor,businessman,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Louis de Funès was a French actor. He died in Nantes.,"He played in numerous successful films, as reported by the media.",He,played,in numerous,"successful films,",as reported by,the media.,"Look at the picture of Louis de Funès, a French actor.",Louis de Funès*was*a French*actor.*He*died*in Nantes.,"He*played*in numerous*successful films,*as reported by*the media.",critical,PS,historicallyPS,yes,match,6,play,crit,crit,Louis_de_Funes.jpg,yes
53,10,Robin Williams,1951,2014,American,Swedish,actor,businessman,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Robin Williams was an American actor. He died in California.,"He has played in numerous successful films, as reported by the media.",He,has played,in numerous,"successful films,",as reported by,the media.,"Look at the picture of Robin Williams, an American actor.",Robin Williams*was*an American*actor.*He*died*in California.,"He*has played*in numerous*successful films,*as reported by*the media.",critical,PP,recentlyPP,no,recentlyPP,1,play,crit,crit,Robin_Williams.jpg,yes
54,10,Robin Williams,1951,2014,American,Swedish,actor,businessman,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Robin Williams was an American actor. He died in California.,"He played in numerous successful films, as reported by the media.",He,played,in numerous,"successful films,",as reported by,the media.,"Look at the picture of Robin Williams, an American actor.",Robin Williams*was*an American*actor.*He*died*in California.,"He*played*in numerous*successful films,*as reported by*the media.",critical,PS,recentlyPS,yes,match,2,play,crit,crit,Robin_Williams.jpg,yes
57,11,Marilyn Monroe,1926,1962,American,Australian,actress,film-maker,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Marilyn Monroe was an American actress. She died in Los Angeles.,"She has starred in prominent feature films, as reported by the media.",She,has starred,in prominent,"feature movies,",as reported by,the media.,"Look at the picture of Marilyn Monroe, an American actress.",Marilyn Monroe*was*an American*actress.*She*died*in Los Angeles.,"She*has starred*in prominent*feature films,*as reported by*the media.",critical,PP,historicallyPP,no,historicallyPP,6,star,crit,crit,Marilyn_Monroe.jpg,yes
58,11,Marilyn Monroe,1926,1962,American,Australian,actress,film-maker,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Marilyn Monroe was an American actress. She died in Los Angeles.,"She starred in prominent feature films, as reported by the media.",She,starred,in prominent,"feature movies,",as reported by,the media.,"Look at the picture of Marilyn Monroe, an American actress.",Marilyn Monroe*was*an American*actress.*She*died*in Los Angeles.,"She*starred*in prominent*feature films,*as reported by*the media.",critical,PS,historicallyPS,yes,match,1,star,crit,crit,Marilyn_Monroe.jpg,yes
59,11,Elizabeth Taylor,1932,2011,English-American,French,actress,film-maker,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Elizabeth Taylor was an American actress. She died in Los Angeles.,"She has starred in prominent feature films, as reported by the media.",She,has starred,in prominent,"feature movies,",as reported by,the media.,"Look at the picture of Elizabeth Taylor, an English-American actress.",Elizabeth Taylor*was*an American*actress.*She*died*in Los Angeles.,"She*has starred*in prominent*feature films,*as reported by*the media.",critical,PP,recentlyPP,no,recentlyPP,2,star,crit,crit,Elizabeth_Taylor.jpeg,yes
60,11,Elizabeth Taylor,1932,2011,English-American,French,actress,film-maker,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Elizabeth Taylor was an American actress. She died in Los Angeles.,"She starred in prominent feature films, as reported by the media.",She,starred,in prominent,"feature movies,",as reported by,the media.,"Look at the picture of Elizabeth Taylor, an English-American actress.",Elizabeth Taylor*was*an American*actress.*She*died*in Los Angeles.,"She*starred*in prominent*feature films,*as reported by*the media.",critical,PS,recentlyPS,yes,match,3,star,crit,crit,Elizabeth_Taylor.jpeg,yes
63,12,Walt Disney,1901,1966,American,Australian,film-maker,scientist,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Walt Disney was an American film-maker. He died in California.,"He has produced well-received feature films, according to Wikipedia.",He,has produced,well-received,"feature films,",according to,Wikipedia.,"Look at the picture of Walt Disney, an American film-maker.",Walt Disney*was*an American*film-maker.*He*died*in California.,"He*has produced*well-received*feature films,*according to*Wikipedia.",critical,PP,historicallyPP,no,historicallyPP,1,produce,crit,crit,Walt_Disney.jpg,yes
64,12,Walt Disney,1901,1966,American,Australian,film-maker,scientist,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Walt Disney was an American film-maker. He died in California.,"He produced well-received feature films, according to Wikipedia.",He,produced,well-received,"feature films,",according to,Wikipedia.,"Look at the picture of Walt Disney, an American film-maker.",Walt Disney*was*an American*film-maker.*He*died*in California.,"He*produced*well-received*feature films,*according to*Wikipedia.",critical,PS,historicallyPS,yes,match,2,produce,crit,crit,Walt_Disney.jpg,yes
65,12,Stan Lee,1922,2018,American,New Zealand,film-maker,scientist,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Stan Lee was an American film-maker. He died in California.,"He has produced well-received feature films, according to Wikipedia.",He,has produced,well-received,"feature films,",according to,Wikipedia.,"Look at the picture of Stan Lee, an American film-maker.",Stan Lee*was*an American*film-maker.*He*died*in California.,"He*has produced*well-received*feature films,*according to*Wikipedia.",critical,PP,recentlyPP,no,recentlyPP,3,produce,crit,crit,Stan_Lee.png,yes
66,12,Stan Lee,1922,2018,American,New Zealand,film-maker,scientist,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Stan Lee was an American film-maker. He died in California.,"He produced well-received feature films, according to Wikipedia.",He,produced,well-received,"feature films,",according to,Wikipedia.,"Look at the picture of Stan Lee, an American film-maker.",Stan Lee*was*an American*film-maker.*He*died*in California.,"He*produced*well-received*feature films,*according to*Wikipedia.",critical,PS,recentlyPS,yes,match,4,produce,crit,crit,Stan_Lee.png,yes
69,13,Louis Armstrong,1901,1971,American,German,musician,comedian,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Louis Armstrong was an American musician. He died in New York City.,"He has released popular music records, according to the media.",He,has released,popular,"music records,",according to,the media.,"Look at the picture of Louis Armstrong, an American musician.",Louis Armstrong*was*an American*musician.*He*died*in New York City.,"He*has released*popular*music records,*according to*the media.",critical,PP,historicallyPP,no,historicallyPP,2,release,crit,crit,Louis_Armstrong.jpg,yes
70,13,Louis Armstrong,1901,1971,American,German,musician,comedian,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Louis Armstrong was an American musician. He died in New York City.,"He released popular music records, according to the media.",He,released,popular,"music records,",according to,the media.,"Look at the picture of Louis Armstrong, an American musician.",Louis Armstrong*was*an American*musician.*He*died*in New York City.,"He*released*popular*music records,*according to*the media.",critical,PS,historicallyPS,yes,match,3,release,crit,crit,Louis_Armstrong.jpg,yes
71,13,Little Richard,1932,2020,American,French,musician,comedian,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Little Richard was an American musician. He died in Tennessee.,"He has released popular music records, according to the media.",He,has released,popular,"music records,",according to,the media.,"Look at the picture of Little Richard, an American musician.",Little Richard*was*an American*musician.*He*died*in Tennessee.,"He*has released*popular*music records,*according to*the media.",critical,PP,recentlyPP,no,recentlyPP,4,release,crit,crit,Little_Richard.png,yes
72,13,Little Richard,1932,2020,American,French,musician,comedian,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Little Richard was an American musician. He died in Tennessee.,"He released popular music records, according to the media.",He,released,popular,"music records,",according to,the media.,"Look at the picture of Little Richard, an American musician.",Little Richard*was*an American*musician.*He*died*in Tennessee.,"He*released*popular*music records,*according to*the media.",critical,PS,recentlyPS,yes,match,5,release,crit,crit,Little_Richard.png,yes
75,14,Jimi Hendrix,1942,1970,American,Scottish,musician,film-maker,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Jimi Hendrix was an American musician. He died in London.,"He has performed in numerous music festivals, as reported by his biographer.",He,has performed,in numerous,"music festivals,",as reported by,his biographer.,"Look at the picture of Jimi Hendrix, an American musician.",Jimi Hendrix*was*an American*musician.*He*died*in London.,"He*has performed*in numerous*music festivals,*as reported by*his biographer.",critical,PP,historicallyPP,no,historicallyPP,3,perform,crit,crit,Jimi_Hendrix.jpg,yes
76,14,Jimi Hendrix,1942,1970,American,Scottish,musician,film-maker,historically,dead,alive,died,born,before 2000,after 2000,yes,before 2000,Jimi Hendrix was an American musician. He died in London.,"He performed in numerous music festivals, as reported by his biographer.",He,performed,in numerous,"music festivals,",as reported by,his biographer.,"Look at the picture of Jimi Hendrix, an American musician.",Jimi Hendrix*was*an American*musician.*He*died*in London.,"He*performed*in numerous*music festivals,*as reported by*his biographer.",critical,PS,historicallyPS,yes,match,4,perform,crit,crit,Jimi_Hendrix.jpg,yes
77,14,Bill Withers,1938,2020,American,British,musician,film-maker,recently,dead,alive,died,born,before 2000,after 2000,no,after 2000,Bill Withers was an American musician. He died in Los Angeles.,"He has performed in numerous music festivals, as reported by his biographer.",He,has performed,in numerous,"music festivals,",as reported by,his biographer.,"Look at the picture of Bill Withers, an American musician.",Bill Withers*was*an American*musician.*He*died*in Los Angeles.,"He*has performed*in numerous*music festivals,*as reported by*his biographer.",critical,PP,recentlyPP,no,recentlyPP,5,perform,crit,crit,Bill_Withers.jpg,yes
