number,item_id,name,born,died,nationality,nationality_distractor,occupation,occupation_distractor,lifetime,life_status,life_status_distractor,life_status_year_verb,life_status_year_before,life_status_year_after,life_status_year_before_match,life_status_year_correct,bio,critical,pronoun,verb,adjectiv,np,spillover1,spillover2,bio_pic,bio_spr,critical_spr,type,tense,condition,match,mismatch,list,pre_task,bare_verb,prac_correct,prac_incorrect,file_name
2,2,Al Pacino,alive,alive,American,filler,actor and film-maker,filler,filler,alive,filler,filler,filler,filler,filler,filler,Al Pacino is an American actor and film-maker. He grew up in New York City.,She has been called one of the best actresses in film history.,filler,filler,filler,filler,filler,filler,"Look at the picture of Al Pacino, an American actor and film-maker.",Al Pacino*is*an American*actor and film-maker.*He*grew up*in New York City.,She*has been called*one of the best*actresses*in film history.,filler,PPPass,alivePPPass,no,gender,88,yes,be called,filler,filler,Al_Pacino.jpg
1,8,Adam Driver,alive,alive,American,filler,actor,filler,filler,alive,filler,filler,filler,filler,filler,filler,"Adam Driver is an American actor. He lives in Brooklyn, New York.","She is the recipient of many accolades, as seen on social media.",filler,filler,filler,filler,filler,filler,"Look at the picture of Adam Driver, an American actor.","Adam Driver*is*an American*actor.*He*lives*in Brooklyn, New York.","She*is*the recipient*of many*accolades,*as seen on*social media.",filler,PresS,alivePresS,no,gender,88,no,be,filler,filler,Adam_Driver.jpg
19,18,Macaulay Culkin,alive,alive,American,filler,actor,filler,filler,alive,filler,filler,filler,filler,filler,filler,Macaulay Culkin is an American actor. He lives in Paris.,He has been a Hollywood star since he was a child.,filler,filler,filler,filler,filler,filler,"Look at the picture of Macaulay Culkin, an American actor.",Macaulay Culkin*is*an American*actor.*He*lives*in Paris.,He*has been*a Hollywood star*since*he was a child.,filler,PP,alivePP,yes,no,88,no,be,filler,filler,Macaulay_Culkin.jpg
16,20,Lady Gaga,alive,alive,American,filler,musician,filler,filler,alive,filler,filler,filler,filler,filler,filler,Lady Gaga is an American musician. She lives in Malibu.,She is known for her musical versatility and image reinventions.,filler,filler,filler,filler,filler,filler,"Look at the picture of Lady Gaga, an American musician.",Lady Gaga*is*an American*musician.*She*lives*in Malibu.,She*is known*for her*musical versatility*and image reinventions.,filler,PresPass,alivePresPass,yes,no,88,no,be known,filler,filler,Lady_Gaga.jpg
15,2,John Krasinski,alive,alive,American,filler,actor,filler,filler,alive,filler,filler,filler,filler,filler,filler,John Krasinski is an American actor. He was born in Boston.,"He is married to Emily Blunt, as is well-known.",filler,filler,filler,filler,filler,filler,"Look at the picture of John Krasinski, an American actor.",John Krasinski*is*an American*actor.*He*was born*in Boston.,"He*is*married to*Emily Blunt,*as is*well-known.",filler,PresPass,alivePresPass,yes,no ,88,yes,be married,filler,filler,John_Krasinski.jpg
18,17,Linkin Park,alive,alive,American,filler,rock band,filler,filler,alive,filler,filler,filler,filler,filler,filler,Linkin Park is an American rock band. They formed in 1996.,He is among the best-selling musicians of the 21st century.,filler,filler,filler,filler,filler,filler,"Look at the picture of Linkin Park, an American rock band.",Linkin Park*is*an American*rock band.*They*formed*in 1996.,He*is*among the best-selling*musicians*of the 21st century.,filler,PresS,alivePresS,no,number,88,no,be,filler,filler,Linkin_Park.png
7,11,Chicago Bulls,alive,alive,American,filler,basketball team,filler,filler,alive,filler,filler,filler,filler,filler,filler,The Chicago Bulls are an American basketball team. They were founded in 1966.,"They are based in Miami, if one believes Twitter.",filler,filler,filler,filler,filler,filler,"Look at the picture of Chicago Bulls, an American basketball team.",The Chicago Bulls*are*an American*basketball team.*They*were founded*in 1966.,"They*are*based*in Miami,*if one believes*Twitter.",filler,PresPass,alivePresPass,no,place,88,yes,be based,filler,filler,Chicago_Bulls.jpg
4,22,Ava Gardner,dead,dead,American,filler,actor,filler,filler,dead,filler,filler,filler,filler,filler,filler,Ava Gardner was an American actress. She died in London.,"He was married to Frank Sinatra, as reported by the media.",filler,filler,filler,filler,filler,filler,"Look at the picture of Ava Gardner, an American actor.",Ava Gardner*was*an American*actress.*She*died*in London.,"He*was*married*to Frank Sinatra,*as reported by*the media.",filler,PastPass,deadPastPass,no,gender,88,no,be married,filler,filler,Ava_Gardner.jpg
13,30,Jerry Stiller,dead,dead,American,filler,actor,filler,filler,dead,filler,filler,filler,filler,filler,filler,Jerry Stiller was an American actor. He died in Manhattan.,"She had supporting roles in several sitcoms, as reported by the media.",filler,filler,filler,filler,filler,filler,"Look at the picture of Jerry Stiller, an American actor.",Jerry Stiller*was*an American*actor.*He*died*in Manhattan.,"She*had*supporting*roles*in several*sitcoms,*as reported by*the media.",filler,PS,deadPS,no,gender,88,no,have,filler,filler,Jerry_Stiller.jpg
10,23,Farrah Fawcett,dead,dead,American,filler,actor,filler,filler,dead,filler,filler,filler,filler,filler,filler,Farrah Fawcett was an American actress. She died in Santa Monica.,"She was an original cast member on 'Charlie's Angels', as reported by the media.",filler,filler,filler,filler,filler,filler,"Look at the picture of Farrah Fawcett, an American actor.",Farrah Fawcett*was*an American*actress.*She*died*in Santa Monica.,"She*was*an original*cast member*on*'Charlie's Angels',*as reported by*the media.",filler,PS,deadPS,yes,no,88,no,be,filler,filler,Farrah_Fawcett.jpg
12,27,Jackie Onassis,dead,dead,American,filler,first lady,filler,filler,dead,filler,filler,filler,filler,filler,filler,Jackie Onassis was a former first lady of the United States. She died in New York City.,"She was married to Aristotle Onassis, as reported by the media.",filler,filler,filler,filler,filler,filler,"Look at the picture of Jackie Onassis, an American first lady.",Jackie Onassis*was*a former first lady*of the United States.*She*died*in New York City.,"She*was*married*to Aristotle Onassis,*as reported by*the media.",filler,PastPass,deadPastPass,yes,no,88,no,be married,filler,filler,Jackie_Onassis.jpg
17,31,Laurel and Hardy,dead,dead,American-British,filler,comedy duo,filler,filler,dead,filler,filler,filler,filler,filler,filler,Laurel and Hardy were an American-British comedy duo.,"He was known for his slapstick style of humour, according to news reports.",filler,filler,filler,filler,filler,filler,"Look at the picture of Laurel and Hardy, an American-British comedy duo.",Laurel and Hardy*were*an American-British*comedy duo.,"He*was*known*for his slapstick*style of humour,*according to*news reports.",filler,PastPass,deadPastPass,no,number,88,no,be known,filler,filler,Laurel_and_Hardy.png
11,15,Gotye,alive,alive,Belgian-Australian,filler,musician,filler,filler,alive,filler,filler,filler,filler,filler,filler,Gotye is a Belgian-Australian musician. He was born in 1980.,"His single ""Somebody That I Used to Know"" reached number one next year.",filler,filler,filler,filler,filler,filler,"Look at the picture of Gotye, a Belgian-Australian musician.",Gotye*is*a Belgian-Australian*musician.*He*was born*in 1980.,"His single*""Somebody That I Used to Know""*reached*number one*next year.",filler,PS,alivePresPass,no,temporal,88,no,reach,filler,filler,Gotye.jpg
23,24,Queen,dead,dead,British,filler,rock band,filler,filler,dead,filler,filler,filler,filler,filler,filler,Queen were a British rock band. They formed in London in 1970.,"They had numerous number one hits, so it's said.",filler,filler,filler,filler,filler,filler,"Look at the picture of Queen, a British rock band.",Queen*were*a British*rock band.*They*formed*in London*in 1970.,"They*had*numerous*number*one hits,*so it's*said.",filler,PS,deadPS,yes,no ,88,no,have,filler,filler,Queen.jpg
29,32,The Beatles,dead,dead,British,filler,rock band,filler,filler,dead,filler,filler,filler,filler,filler,filler,The Beatles were a British rock band formed in Liverpool. They disbanded in 1970.,"He was adored by many teenage fans, so it's said.",filler,filler,filler,filler,filler,filler,"Look at the picture of The Beatles, a British rock band.",The Beatles*were*a British*rock band*formed*in Liverpool.*They*disbanded*in 1970.,"He*was*adored*by many*teenage fans,*so it's*said.",filler,PastPass,deadPastPass,no,number,88,yes,be adored,filler,filler,The_Beatles.jpg
31,28,Vacouver Grizzlies,dead,dead,Canadian,filler,basketball team,filler,filler,dead,filler,filler,filler,filler,filler,filler,The Vancouver Grizzlies were a Canadian basketball team.,"In 2001, the team relocated to Memphis, Tennessee, so it's said.",filler,filler,filler,filler,filler,filler,"Look at the picture of Vacouver Grizzlies, a Canadian basketball team.",The Vancouver Grizzlies*were*a Canadian*basketball team.,"In 2001,*the team*relocated*to Memphis,*Tennessee,*so it's*said.",filler,PS,deadPS,yes,no ,88,no,relocate,filler,filler,The_Vancouver_Grizzlies.jpg
20,3,Manchester United,alive,alive,English,filler,football club,filler,filler,alive,filler,filler,filler,filler,filler,filler,Manchester United F.C. is an English football club. They are based in Manchester.,"They are the world's most valuable football brand, if one believes Twitter.",filler,filler,filler,filler,filler,filler,"Look at the picture of Manchester United, an English football club.",Manchester United F.C.*is*an English*football club.*They*are*based in Manchester.,"They*are*the world's*most valuable*football brand,*if one believes*Twitter.",filler,PresS,alivePresS,yes,no ,88,yes,be,filler,filler,Manchester_United.jpg
21,4,Phoebe Waller-Bridge,alive,alive,English,filler,actor and writer,filler,filler,alive,filler,filler,filler,filler,filler,filler,Phoebe Waller-Bridge is an English actress and writer. She was born in London.,"She has been praised for her writing, as seen on social media.",filler,filler,filler,filler,filler,filler,"Look at the picture of Phoebe Waller-Bridge, an English actor and writer.",Phoebe Waller-Bridge*is*an English*actress and writer.*She*was born*in London.,"She*has been*praised*for her writing,*as seen on*social media.",filler,PPPass,alivePPPass,yes,no ,88,no,be praised,filler,filler,Phoebe_Waller-Bridge.png
28,6,Stephen Fry,alive,alive,English,filler,actor,filler,filler,alive,filler,filler,filler,filler,filler,filler,Stephen Fry is an English actor and writer. He was born in London.,"His career has spanned many decades, as seen on social media.",filler,filler,filler,filler,filler,filler,"Look at the picture of Stephen Fry, an English actor.",Stephen Fry*is*an English*actor and writer.*He*was born*in London.,"His career*has spanned*many*decades,*as seen on*social media.",filler,PP,alivePP,yes,no ,88,yes,span,filler,filler,Stephen_Fry.jpg
8,1,Chiwetel Ejiofor,alive,alive,English,filler,actor,filler,filler,alive,filler,filler,filler,filler,filler,filler,Chiwetel Ejiofor is an English actor. He lives in London.,He graduated from The Academy of Music and Dramatic Art later this year.,filler,filler,filler,filler,filler,filler,"Look at the picture of Chiwetel Ejiofor, an English actor.",Chiwetel Ejiofor*is*an English*actor.*He*lives*in London.,He*graduated from*The Academy of Music*and Dramatic Art*later this year.,filler,PS,alivePastPass,no,temporal,88,yes,graduate,filler,filler,Chiwetel_Ejiofor.jpg
6,29,Charles Dickens,dead,dead,English,filler,writer,filler,filler,dead,filler,filler,filler,filler,filler,filler,Charles Dickens was an English writer. He was born in Portsmouth.,"She was applauded for writing 'Oliver Twist', according to news reports.",filler,filler,filler,filler,filler,filler,"Look at the picture of Charles Dickens, an English writer.",Charles Dickens*was*an English*writer.*He*was born*in Portsmouth.,"She*was*applauded for*writing*'Oliver Twist',*according to*news reports.",filler,PastPass,deadPastPass,no,gender,88,no,be applauded,filler,filler,Charles_Dickens.jpg
3,21,Alan Turing,dead,dead,English,filler,mathematician,filler,filler,dead,filler,filler,filler,filler,filler,filler,Alan Turing was an English mathematician. He died in 1954.,"He contributed to several top secret projects, according to news reports.",filler,filler,filler,filler,filler,filler,"Look at the picture of Alan Turing, an English mathematician.",Alan Turing*was*an English*mathematician.*He died*in 1954.,"He*contributed*to several*top secret*projects,*according to*news reports.",filler,PS,alivePS,yes,no,88,no,contribute,filler,filler,Alan_Turing.jpg
25,25,Scarborough F.C.,dead,dead,English,filler,football club,filler,filler,dead,filler,filler,filler,filler,filler,filler,Scarborough F.C. were an English football club. They were based in North Yorkshire.,"They were dissolved in 2007, so it's said.",filler,filler,filler,filler,filler,filler,"Look at the picture of Scarborough F.C., an English football club.",Scarborough F.C.*were*an English*football club.*They*were*based in*North Yorkshire.,"They*were*dissolved*in 2007,*so it's*said.",filler,PastPass,deadPastPass,yes,no ,88,no,be dissolved,filler,filler,Scarborough.jpg
27,26,Spice Girls,dead,dead,English,filler,pop group,filler,filler,dead,filler,filler,filler,filler,filler,filler,The Spice Girls were an English pop group formed in the 1990's.,"They had several successful world tours, so it's said.",filler,filler,filler,filler,filler,filler,"Look at the picture of Spice Girls, an English pop group.",The Spice Girls*were*an English*pop group*formed*in the 1990's.,"They*had*several*successful*world tours,*so it's*said.",filler,PS,deadPS,yes,no ,88,yes,have,filler,filler,Spice_Girls.jpg
14,7,John Boyega,alive,alive,English-Nigerian,filler,actor,filler,filler,alive,filler,filler,filler,filler,filler,filler,John Boyega is an English-Nigerian actor. He lives in London.,"She is known for her role in 'Star Wars', as is well-known.",filler,filler,filler,filler,filler,filler,"Look at the picture of John Boyega, an English-Nigerian actor.",John Boyega*is*an English-Nigerian*actor.*He*lives*in London.,"She*is*known*for her role in*'Star Wars',*as is*well-known.",filler,PresPass,alivePresPass,no,gender,88,yes,be known,filler,filler,John_Boyega.png
32,33,Wolfgang Amadeus Mozart,dead,dead,German,filler,musician,filler,filler,dead,filler,filler,filler,filler,filler,filler,Wolfgang Amadeus Mozart was a German musician. He was born in 1756.,He was named one of the most popular astrologists of the 19th century.,filler,filler,filler,filler,filler,filler,"Look at the picture of Wolfgang Amadeus Mozart, a German musician.",Wolfgang Amadeus Mozart*was*a German*musician.*He*was born*in 1756.,He*was named*one of the most popular*astrologists*of the 19th century.,filler,PastPass,deadPastPass,no,occupation,88,yes,be considered,filler,filler,Wolfgang_Amadeus_Mozart.jpg
30,16,U2,alive,alive,Irish,filler,rock band,filler,filler,alive,filler,filler,filler,filler,filler,filler,U2 are an Irish rock band. They are from Dublin.,He is one of the world's most popular music artists worldwide.,filler,filler,filler,filler,filler,filler,"Look at the picture of U2, an Irish rock band.",U2*are*an Irish*rock band.*They*are*from Dublin.,He*is*one of the world's most popular*music artists*worldwide.,filler,PresS,alivePresS,no,number,88,yes,be,filler,filler,U2.png
26,13,Sophia Loren,alive,alive,Italian,filler,actress,filler,filler,alive,filler,filler,filler,filler,filler,filler,Sophia Loren is an Italian actress. She lives in Geneva.,She enrolled in the Italian National film school in the near future.,filler,filler,filler,filler,filler,filler,"Look at the picture of Sophia Loren, an Italian actress.",Sophia Loren*is*an Italian*actress.*She*lives*in Geneva.,She*enrolled*in the Italian*National film school*in the near future.,filler,PS,alivePresPass,no,temporal,88,no,enrol,filler,filler,Sophia_Loren.png
33,19,Yoko Ono,alive,alive,Japanese,filler,artist and activist,filler,filler,alive,filler,filler,filler,filler,filler,filler,Yoko Ono is a Japanese artist and activist. She lives in Dakota.,She has been an activist for peace and human rights since the 1960s.,filler,filler,filler,filler,filler,filler,"Look at the picture of Yoko Ono, a Japanese artist and activist.",Yoko Ono*is*a Japanese*artist and activist.*She*lives*in Dakota.,She*has been*an activist for peace*and human rights*since the 1960s.,filler,PP,alivePP,yes,no,88,no,be,filler,filler,Yoko_Ono.png
9,12,David Tennant,alive,alive,Scottish,filler,actor,filler,filler,alive,filler,filler,filler,filler,filler,filler,David Tennant is a Scottish actor. He was born in Bathgate.,"He is best known for his role in 'Doctor Who', as is well-known.",filler,filler,filler,filler,filler,filler,"Look at the picture of David Tennant, a Scottish actor.",David Tennant*is*a Scottish*actor.*He*was born*in Bathgate.,"He*is*best known*for his role*in*'Doctor Who',*as is*well-known.",filler,PresPass,alivePresPass,yes,no,88,yes,be known,filler,filler,David_Tennant.png
5,10,Bangtan Boys,alive,alive,South Korean,filler,pop band,filler,filler,alive,filler,filler,filler,filler,filler,filler,Bangtan Boys are a South Korean pop band. The band has seven members.,"They have achieved worldwide success, if one believes Twitter.",filler,filler,filler,filler,filler,filler,"Look at the picture of Bangtan Boys, a South Korean pop band.",Bangtan Boys*are*a South Korean*pop band.*The band*has*seven members.,"They*have achieved*worldwide*success,*if one believes*Twitter.",filler,PP,alivePP,yes,no,88,no,achieve,filler,filler,Bangtan_Boys.jpg
22,14,Psy,alive,alive,South Korean,filler,musician,filler,filler,alive,filler,filler,filler,filler,filler,filler,Psy is a South Korean musician. He lives in Seoul.,He attended Berklee College of Music over the next months.,filler,filler,filler,filler,filler,filler,"Look at the picture of Psy, a South Korean musician.",Psy*is*a South Korean*musician.*He*lives*in Seoul.,He*attended*Berklee College*of Music*over the next months.,filler,PS,alivePPPass,no,temporal,88,no,attend,filler,filler,Psy.jpg
24,5,Real Madrid,alive,alive,Spanish,filler,football club,filler,filler,alive,filler,filler,filler,filler,filler,filler,Real Madrid C.F. is a Spanish football club. They are based in Madrid.,"The team was founded in 1902, if one believes Twitter.",filler,filler,filler,filler,filler,filler,"Look at the picture of Real Madrid, a Spanish football club.",Real Madrid C.F.*is*a Spanish*football club.*They*are*based in Madrid.,"The team*was*founded*in 1902,*if one believes*Twitter.",filler,PastPass,alivePastPass,yes,no ,88,no,be founded,filler,filler,Real_Madrid.jpg
